"","alias","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"1","Abalone",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"2","Abiyuch",-4.20986721515125,-1.0465816896846,1.05805342513206,-0.177413160289149,0.552890056478176,-0.438813644471894,-0.342356123465756,0.327010369532743,-0.302165659979069,-0.0810251530331953
"3","Acerola",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"4","Acorn",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"5","Adzuki bean",-4.28394975993564,-0.936857529288223,0.811364459157126,-0.315222353254147,-0.116779432659519,0.372125720290726,0.306357699295656,-0.425944690034145,0.320129964998263,0.0912172513282913
"6","Agar",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"7","Agave",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"8","Alaska wild rhubarb",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"9","Alfalfa",-4.25405082279809,-0.987346994093803,0.866353569202877,-0.233828492555024,0.0963820047200485,0.0988287364314236,0.081698344278473,-0.43099482083806,0.260363616344608,0.438167938612358
"10","Allium",5.22752552441886,-1.75845032227062,0.0409901503027131,0.171048096110413,0.144178237698232,-0.123721017565828,-0.243609584920484,0.437739921451474,-0.255694979124836,-0.381541587946954
"11","Allspice",-4.66994923648934,-0.0220210777977506,-3.33895063846036,2.09034367961772,1.70438637697419,-0.716369446772909,-0.195749839376659,-0.531003929837856,0.122404182474091,0.142850900403796
"12","Almond",-4.42967541570596,-0.039829842713946,-0.109669552036414,-0.82877055505587,-1.66257922539922,0.192357047731128,0.764675704291207,-0.656319156234369,0.945893268468181,-1.2454462302218
"13","Alpine sweetvetch",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"14","Amaranth",-4.22839503261324,-1.01925366196734,1.00587076150679,-0.217537100508233,0.297014413919635,-0.116433064773581,-0.0607422180521867,-0.185546474457951,0.0560710205368829,0.333413592032507
"15","American butterfish",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"16","American pokeweed",-4.28412044167311,-1.04696420795815,0.832753349397526,-0.11079692538684,0.397743384597988,-0.244072981169107,-0.196837788448346,0.0294988539803856,-0.145685766942257,0.0764645395304114
"17","Angelica",-4.31520256509494,-0.616916643777689,-0.0390979305641043,0.351047651322403,0.448046077897067,-0.490022207463331,-0.135131075585427,0.40971712953537,-0.486843118843114,-0.296712478530372
"18","Anise",-4.61548237148627,-0.23135139263885,-2.39890049068764,1.33754265429447,1.07877528690027,-0.710277410988506,-0.0709332346247581,-0.437741529076702,0.348607696409491,0.103326035990169
"19","Anise Brandy",5.05156572131578,1.36468061149524,-0.190366773737539,-1.72414193062292,1.62043775492576,-2.05091580974465,3.22418339124347,2.77088086263429,2.78432497476821,0.968181706127057
"20","Anise Hyssop",5.19043984990917,-1.48022579388686,-0.59711784578276,0.416164627927042,0.125323533084507,-0.126733660095854,-0.394174190810669,0.67197253633834,-0.506250207341101,-0.866712601800737
"21","Annual wild rice",-4.20986721515125,-1.0465816896846,1.05805342513206,-0.177413160289149,0.552890056478176,-0.438813644471894,-0.342356123465756,0.327010369532743,-0.302165659979069,-0.0810251530331953
"22","Apple",-3.98696224475813,7.56999062078623,-1.23832021676341,-1.89026502227715,-0.745758235857783,3.19693982936303,3.37512730835111,0.727340053849764,-3.00482942187325,1.40339397326872
"23","Apple Brandy",4.90870188440067,2.2964202176339,-0.314832647361237,-2.21413654447212,1.97318545273769,-1.84196383145377,3.46873664745647,2.72751615172964,2.24287035175055,1.04585003999161
"24","Apple Cider Vinegar",5.03190351742697,-1.3378720558931,-0.334817625272002,-0.273224869624692,-0.426836678681456,0.752936788795977,0.667605695132914,0.361172451498026,-0.0758190718448605,-1.61480810820742
"25","Apricot",-4.38801129880324,3.865512554372,-2.26318875878338,-0.579489318006587,-0.918850320691,2.81220591680811,1.80897133724203,0.388914801546543,-2.65919274351465,0.287791595757162
"26","Arabica coffee",5.05076575218515,-1.51922675324356,-0.157389351221404,-0.301098589935719,0.314167993164017,-0.608622968171374,-0.0404041725615551,0.198589312634736,-0.216204824775595,-0.726180007791729
"27","Arar",5.20687576669971,-1.56586458041042,-0.641911277952544,0.300000565142171,0.38757524930559,-0.146074316422792,-0.0949100656515297,0.700111130282484,-0.458909290928482,-0.373224435567471
"28","Armagnac Brandy",5.05156572131578,1.36468061149524,-0.190366773737539,-1.72414193062292,1.62043775492576,-2.05091580974465,3.22418339124347,2.77088086263429,2.78432497476821,0.968181706127057
"29","Arrack",5.15740886824506,-1.53686995025909,0.0292068005536445,-0.088628158477507,0.340995549589647,-0.020849886246196,-0.0490268100533083,0.466378801972987,-0.427481682756767,-0.365174261275477
"30","Arrowhead",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"31","Arrowroot",-4.30513596251597,-0.996861681736566,0.83563668865041,-0.230623703817929,0.308243997695119,-0.271758437807667,-0.0317159515805391,-0.0114496167194004,-0.00489722041853516,-0.0230912851314388
"32","Artemisia",-4.31061897679677,-0.184503036974416,-0.653766858549273,0.816993290948719,1.25189108380028,-0.700179894535541,-0.342670312756982,0.305069336192052,-0.374258460919647,-0.0990854429901018
"33","Artichoke",-4.24818970394892,-0.823656387942633,0.790024986590771,-0.277850660203794,0.056178068595956,0.228648963739969,-0.0231091970605187,-0.312621771795271,0.0951512464423147,0.385411448371507
"34","Asafoetida",4.95134442450889,-1.53024377044373,-1.83623795082201,1.20187272737599,0.714692911729378,-0.29016923471185,-0.324483408592083,0.175517854589008,-0.279505622959224,-0.485462545360478
"35","Ashgourd",-4.24783300969775,-1.07734941746407,1.02814876830077,-0.200889920379939,0.400865934119372,-0.261832145115498,-0.235170147022603,0.0850980827392821,-0.22621187283107,0.158457752458645
"36","Asparagus",-4.14505946293647,1.76884519041534,0.282121667421044,-0.613727028186487,-2.89273937036128,-1.39049602807603,-1.16074073395175,0.380664067531295,1.2786520345209,-0.0191860185476538
"37","Atlantic herring",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"38","Atlantic salmon",5.07731138892543,-1.89079856484952,-0.0452761656261145,0.0311606352559874,-0.138168513861102,0.43573469518087,0.177984150984442,-0.458169324246898,0.142678251172102,0.276050325533482
"39","Atlantic wolffish",5.14223578773953,-1.83790901520757,-0.113203901130441,-0.00691574547312708,-0.280499438492073,0.551280437564046,0.276566802747787,-0.528396426509622,0.23825795072805,0.281643543962753
"40","Avocado",-4.39626186606955,0.725189171447745,-0.430398245736196,-0.695300395156675,-1.30238701048646,0.833333055257228,0.872043459443879,-0.045420690241933,0.144791643600886,-0.995153192043318
"41","Babaco",5.14480109037537,-1.58397869627981,-0.0311050418503659,0.0164970904515476,0.255653136182502,0.128698906757288,-0.105250295924232,0.636067480319603,-0.651120174928742,-0.248282191262085
"42","Babassu palm",-4.24622060966993,-1.0853789703992,1.03636751665956,-0.191598669114852,0.414229128067664,-0.283063955018261,-0.254993393702508,0.0640156863947491,-0.193182880225815,0.151958474991816
"43","Bagel",5.07731138892543,-1.89079856484952,-0.0452761656261145,0.0311606352559874,-0.138168513861102,0.43573469518087,0.177984150984442,-0.458169324246898,0.142678251172102,0.276050325533482
"44","Bakery Products",5.25639484243139,-1.58257006430884,0.070527335109167,0.0938621562429603,-0.161697401593067,-0.665331931138919,-0.247816859927426,0.0914630775919036,-0.302208089999793,-0.773343196854013
"45","Bamboo shoots",-4.23924514701858,-1.00351758503623,0.939836249020982,-0.256852183824446,0.103325558117629,0.0855162797108794,0.0704625671478853,-0.388946262936366,0.202084200844878,0.479280372687289
"46","Banana",-4.09067983801177,4.10823735906239,0.404982543794373,-0.943196597724082,-1.13300324644926,2.45073624993592,1.67058272679392,0.226526364169644,-2.07615065703807,-0.0668345578938184
