"","common_name","profile"
"12237","X3.4.Dihydroxybenzaldehyde","almond, medical, bitter, dry"
"12238","p.coumaric.acid","balsam, balsamic"
"12239","X1.Penten.3.Ol","butter, vegetable, bitter, horseradish, pungent, tropical, fruity, green"
"12240","Hexyl.octanoate","oil, apple, berry, waxy, ester, fruity, herb, green"
"12241","delta.Hexalactone","sweet, herbal"
"12242","Isoamyl.nonanoate","oily, floral, fruity, apricot"
"12243","Nonanoic.Acid","cultured dairy, fat, waxy, green, dirty, cheese"
"12244","nerol","citrus, magnolia, neroli, bitter, sweet, natural"
"12245","X3.Phenylpropan.1.ol","mignonette, cinnamyl, fruit, sweet, anise, balsam, hyacinth, spicy, cinnamon"
"12246","farnesol","orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit"
"12247","X2.Undecanone","orange, waxy, fresh, fatty, floral, iris, creamy, fruity, orris, green"
"12248","Hexyl.Hexanoate","peach, vegetable, herbal, apple peel, fresh, cut grass, fruity"
"12249","Methyl.cinnamate","balsam, sweet, cherry, strawberry"
"12250","X2.Heptanone","coconut, soap, herbal, sweet, woody, fruity, spicy, cinnamon"
"12251","Damascenone","apple, tobacco, rose, smoky, sweet, honey"
"12252","Ocimene","citrus, herbal, sweet, woody, tropical, terpene, herb, green"
"12253","X3.Octanone","butter, herbal, resin, fresh, mushroom, sweet, lavender, herb"
"12254","Hexyl.Butyrate","apple, apple peel, waxy, sweet, fruity, soapy, green"
"12255","Tetradecanoic.acid","fatty, soapy, waxy, coconut"
"12256","X2.Nonanone","soap, herbal, fresh, fishy, hot milk, earthy, sweet, soapy, weedy, green"
"12257","trans.2.Hexenyl.acetate","banana peel, apple skin, privet, fresh, waxy, sweet, green"
"12258","butyric.acid","butter, sweat, acetic, sharp, rancid, fruit, cheese"
"12259","X4.Methylpentanoic.Acid","pungent, cheese"
"12260","methyl.salicylate","mint, wintergreen, peppermint"
"12261","benzaldehyde","strong, sharp, burnt sugar, bitter, sweet, cherry, almond"
"12262","gamma.Nonanolactone","peach, coconut, waxy, oily, creamy, sweet, buttery"
"12263","Ethyl.Cinnamate",""
"12264","X5.Methylfurfural","caramel, spice, burnt sugar, maple, almond"
"12265","trans.2.Octen.1.Ol","citrus, soap, green, plastic"
"12266","X4077.47.8","caramel, moldy, potato, grape, sweet, fruity, maple, mildew, mossy, mushroom"
"12267","X2.Heptanol","lemon, grass, herbal, fresh, bitter, floral, sweet, fruity, mushroom, green"
"12268","delta.Hexalactone","sweet, herbal"
"12269","Methyl.propenyl.ketone","acetone, fishy, fruity, phenolic"
"12270","X3658.77.3","caramel, strawberry, grape, cotton, sweet, sugar, candy, almond"
"12271","Methyl.3.hydroxyhexanoate","pineapple, ripe, oily, sweet, woody, fruity, juicy"
"12272","Ethyl.caproate","pineapple, apple peel, waxy, banana, fruit, sweet, fruity, green"
"12273","farnesol","orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit"
"12274","gamma.Valerolactone","tobacco, warm, herbal, cocoa, sweet, woody"
"12275","Decanal","citrus, soap, orange peel, tallow, waxy, floral, sweet, aldehydic"
"12276","Methyl.Anthranilate","lemon, lime, neroli, strawberry, grape, bitter, orange flower, honey, fruity, medicinal, flower, grapefruit"
"12277","Perilla.alcohol","fatty, terpineol, linalool, green"
"12278","alpha.TERPINEOL",""
"12279","Linalyl.propionate","rose, fresh, woody, lily, rum, bergamot"
"12280","Perillyl.acetate","herbal, spicy"
"12281","Linalyl.Acetate","citrus, fruit, sweet, woody, bergamot, lavender, green"
"12282","acetic.acid","sour, pungent, sharp, vinegar"
"12283","nerol","citrus, magnolia, neroli, bitter, sweet, natural"
"12284","cis.Jasmone","jasmine, jasmin, herbal, floral, woody, celery, spicy"
"12285","Geranyl.propionate",""
"12286","Perillaldehyde","mint, spice, fat, herbal, fresh, oily, fatty, sweet, cherry, grassy, cumin, green"
"12287","Bisabolene",""
"12288","Neryl.propionate","berry, jammy, rose, fresh, waxy, floral, bitter, fruity, tropical, green"
"12289","Geraniol","citrus, rose, waxy, floral, sweet, fruity, geranium"
"12290","Nootkatone",""
"12291","X2.Furaldehyde","fragrant, bread, woody, sweet, baked, almond"
"12292","Ethyl.Decanoate","apple, brandy, waxy, grape, oily, sweet, fruity, pear"
"12293","Tetradecanal","citrus peel, incense, amber, wax, waxy, fatty, musk, flower, dry"
"12294","Ethyl.Butyrate","apple, pineapple, banana, fruit, fruity, juicy, cognac"
"12295","X6.methyl.2..oxiran.2.yl.hept.5.en.2.ol","herbal, floral, earthy, wood, flower, green"
"12296","Geranyl.Acetate","rose, waxy, bitter, floral, lavender, green"
"12297","Hexanal","leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green"
"12298","Geraniol","citrus, rose, waxy, floral, sweet, fruity, geranium"
"12299","X1.octanol","burnt, orange, rose, waxy, chemical, metal, aldehydic, mushroom, green"
"12300","Nonanal","citrus, lime, orange peel, rose, fat, green, fishy, waxy, fresh, fatty, peely, aldehydic, orris, grapefruit"
"12301","X1.Undecanol","citrus, clean clothes, rose, waxy, fresh, mandarin, floral, soapy"
"12302","Myrcene","peppery, spice, balsamic, must, balsam, terpene, spicy, plastic"
"12303","acetone","solvent, apple, pear, ethereal"
"12304","phenylacetaldehyde","hawthorne, green, bitter, floral, sweet, cocoa, honey, peanut, hyacinth, clover, grapefruit"
"12305","Alpha.Phellandrene","mint, citrus, peppery, spice, herbal, turpentine, woody, terpene, green"
"12306","Nonyl.Acetate","gardenia, waxy, bitter, fruit, sweet, clean, tropical, fruity, soapy, green"
"12307","Terpinolene","citrus, fresh, sweet, woody, pine, plastic"
"12308","Beta.Pinene","resinous, resin, turpentine, green, hay, woody, pine, dry"
"12309","X1.Hexanol","oil, alcoholic, ethereal, resin, fusel, sweet, fruity, flower, green"
"12310","Terpinyl.propionate","citrus, herbal, bitter, old wood, tropical, geranium, green"
"12311","Nerolidol","citrus, wax, waxy, floral, woody, wood, flower, green"
"12312","Valencene",""
"12313","hydrogen.sulfide","egg, rotten"
"12314","X3.Methyl.1.butanol","oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity"
"12315","Piperitenone","minty, sharp, phenolic"
"12316","Decanal","citrus, soap, orange peel, tallow, waxy, floral, sweet, aldehydic"
"12317","Eucalyptol","mint, pepper, herbal, eucalyptus, sweet, camphor"
"12318","X3.Methyl.2.Buten.1.Ol","lavender, fruity, herb, green"
"12319","X1.Nonanol","orange, rose, wet, fat, fresh, bitter, fatty, floral, oily, clean, dusty, green"
"12320","alpha.TERPINEOL",""
"12321","X2.Pentanone","potato, alcohol, ether, ethereal, wine, banana, fishy, fruit, sweet, woody, fruity"
"12322","Linalool","lemon, citrus, orange, floral, sweet, woody, blueberry, bois de rose, lavender, flower, green"
"12323","X2.Ethylbutanal","ethereal, cocoa, sweet, fruity, green"
"12324","l.ascorbic.acid",""
"12325","Gamma.Terpinene","lemon, lime, gasoline, herbal, turpentine, bitter, oily, woody, tropical, terpene"
"12326","nerol","citrus, magnolia, neroli, bitter, sweet, natural"
"12327","Hexyl.acetate","apple, banana, bitter, fruit, sweet, fruity, herb, green"
"12328","Perillaldehyde","mint, spice, fat, herbal, fresh, oily, fatty, sweet, cherry, grassy, cumin, green"
"12329","trans.2.Hexenal","leafy, apple, cheesy, vegetable, fat, banana, rancid, fatty, sweet, plum, fruity, aldehydic, almond, green"
"12330","Ethyl.3.hydroxyhexanoate","citrus, pineapple, smoky, grape, fresh, fruity"
"12331","P.Cymene","solvent, citrus, spice, gasoline, fresh, woody, terpene"
"12332","Linalyl.Acetate","citrus, fruit, sweet, woody, bergamot, lavender, green"
"12333","Isoamyl.butyrate","hop_oil, apricot, whiskey, banana, tropica, papaya, melon, fruity, pear, green"
"12334","Octan.2.ol","fat, herbal, fresh, earthy, woody, mushroom, spicy, green"
"12335","coumarin","new mown hay, bitter, green, sweet, tonka"
"12336","Methyl.Benzoate","prune, cananga, floral, wintergreen, lettuce, sweet, almond, herb, phenolic"
"12337","X3.Hexanone","ether, waxy, grape, sweet, rum, fruity"
"12338","Geraniol","citrus, rose, waxy, floral, sweet, fruity, geranium"
"12339","alpha.Maltose","odorless"
"12340","X2.Ethyl.4.hydroxy.5.methyl.3.2H..furanone","butterscotch, caramel, sweet, candy"
"12341","Phlorizin","bitter"
"12342","methanethiol","sulfur, garlic, gasoline, decomposing cabbage"
"12343","daidzein","bitter"
"12344","benzaldehyde","strong, sharp, burnt sugar, bitter, sweet, cherry, almond"
"12345","Citronellyl.formate","peach, apricot, rose, plum, honey, bergamot, cucumber"
"12346","benzyl.alcohol","berry, balsamic, rose, floral, walnut, sweet, cherry, phenolic, flower, grapefruit"
"12347","alpha.L.Sorbopyranose","bitter"
"12348","DL.Liquiritigenin","bitter"
"12349","X3.Carene","lemon, citrus, sweet, resin"
"12350","phloretin","odorless"
"12351","Methyl.Isobutyrate","apple, pineapple, floral, fruity, flower"
"12352","Neryl.isobutyrate","strawberry, fresh, sweet, fruity, raspberry, green"
"12353","Hexanal","leafy, grass, sweaty, tallow, fat, fresh, fatty, fruity, aldehydic, green"
"12354","Linamarin","bitter"
"12355","X2.Methyl.1.Butanol","roasted, onion, malt, wine, fruity"
"12356","Heptanoic.Acid","sour, cheesy, sweat, rancid, cheese"
"12357","salicylic.acid","nutty, faint, phenolic"
"12358","Isobutyl.cinnamate",""
"12359","vanillin","vanilla, chocolate, sweet, creamy"
"12360","X.Z..cinnamyl.alcohol","oil, powdery, cinnamic, bitter, sweet, balsam, hyacinth, spicy, green"
"12361","cinnamyl.alcohol","powdery, cinnamic, sweet, balsam, hyacinth, spicy, green"
"12362","Ethyl.Vinyl.Ketone","peppery, mustard, garlic, onion, fish, pungent"
"12363","hydrogen.peroxide","bitter"
"12364","Isoeugenol","carnation, clove, floral, sweet, woody, flower, spicy, phenolic"
"12365","X2.Bornyl.propionate","turpentine, fruit, woody, pungent, lavender, pine, camphor"
"12366","betaine","bland"
"12367","Phenethyl.acetate","tobacco, rose, floral, sweet, honey, fruity, tropical"
"12368","Phenylacetic.Acid","honeysuckle, sour, waxy, floral, sweet, honey, civet, flower"
"12369","cis.3.Hexenal","apple, fatty, fruity, leaf, grassy, weedy, green"
"12370","cinnamaldehyde","spice, warm, red hots, paint, clove, sweet, candy, cinnamon"
"12371","Sinapic.Acid","odorless"
"12372","Cyclopentanone","minty"
"12373","X2.Isopropyl.5.methylcyclohexanone","mint, fresh, peppermint, sweet, cool, minty, green"
"12374","Tetradecanal","citrus peel, incense, amber, wax, waxy, fatty, musk, flower, dry"
"12375","X1.Octen.3.Ol","raw, fishy, oily, earthy, fungal, chicken, mushroom, green"
"12376","X2.Phenylethanol","spice, rose, lilac, rose dried, rose flower, bitter, floral, rose water, honey"
"12377","Geranyl.caproate",""
"12378","X....Neomenthol","camphoraceous, minty, sweet, mentholic"
"12379","succinic.acid","sour, odorless"
"12380","NSC5112","bitter"
"12381","Nonanal","citrus, lime, orange peel, rose, fat, green, fishy, waxy, fresh, fatty, peely, aldehydic, orris, grapefruit"
"12382","apigenin","bitter"
"12383","phenylacetaldehyde","hawthorne, green, bitter, floral, sweet, cocoa, honey, peanut, hyacinth, clover, grapefruit"
"12384","trans.2.Hexen.1.Ol","leafy, alcohol, pepper, wine, green, fresh, fruit, unripe banana, fruity, leaf, walnut"
"12385","thiamine","bitter"
"12386","X3.Phenylpropanoic.acid","balsamic, rose, fatty, sweet, musk, cinnamon"
"12387","X3.Methyl.1.butanol","oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity"
"12388","Propionaldehyde","solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty"
"12389","Hydroxycitronellal.dimethyl.acetal","lily, rose acetate, waxy, green"
"12390","X2..4.Hydroxyphenyl.ethanol","floral, sweet, fruity, mild"
"12391","X2.Methylundecanal","citrus, tuberose, amber, moss, fresh, waxy, coumarinic, aldehydic, metallic"
"12392","Acrolein","cherry, almond"
"12393","X....delta.Cadinene","herbal, woody, thyme, wood, medicine, dry"
"12394","indole","burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal"
"12395","Tributyrin","bitter, waxy, fatty, creamy, cheese"
"12396","calcium.lactate","odorless"
"12397","Geranyl.tiglate","geranium, sweet, herbal, fruity"
"12398","X2.3.butanedione","butter, caramel, oily, creamy, sweet, pungent, strong"
"12399","Citronellal","lemon, citrus, rose, fat, herbal, waxy, floral, sweet, aldehydic, cherry, dry"
"12400","isoliquiritigenin","bitter"
"12401","Cinnamic.Acid","storax, sweet, honey, balsam"
"12402","Farnesal","floral, minty"
"12403","X3.4.Dihydroxybenzaldehyde","almond, medical, bitter, dry"
"12404","Neryl.butyrate","apple, orange, rose, waxy, oily, fatty, fruit, sweet, fruity, tropical, leaf, raspberry, green"
"12405","naringin","bitter"
"12406","Linalyl.propionate","rose, fresh, woody, lily, rum, bergamot"
"12407","X3.Methylbutanal","peach, sour, chocolate, ethereal, malt, fatty, aldehydic"
"12408","farnesol","orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit"
"12409","Daidzin","bitter"
"12410","X2.Methylbutyraldehyde","musty, coffee, cocoa, nutty, almond"
"12411","X3.methylthiopropanol","sulfurous, potato, onion, vegetable, sweet, soup"
"12412","Citral","lemon, mint, citrus, sharp, bitter, sweet"
"12413","Methyl.jasmonate","magnolia, jasmine, fresh, waxy, floral, oily, melon, petal"
"12414","X3.4.Dihydroxybenzoic.Acid","phenolic, balsamic, mild"
"12415","nicotine","bitter"
"12416","kaempferol","bitter"
"12417","Isopropyl.Myristate","oily, fatty, faint, cinnamon"
"12418","X1.Hexanol","oil, alcoholic, ethereal, resin, fusel, sweet, fruity, flower, green"
"12419","CID.644104","grassy, very mild"
"12420","Taxifolin","bitter"
"12421","D.mannitol","odorless"
"12422","indole.3.acetic.acid","sour, odorless, mild"
"12423","X1.Pyrroline","shrimp, ammoniacal"
"12424","Menthone","herbal, peppermint, bitter, menthol, camphoraceous, raspberry, deep, camphor"
"12425","Geranyl.Acetate","rose, waxy, bitter, floral, lavender, green"
"12426","cis.3.Hexenyl.acetate","apple, fresh, banana, sweet, fruity, grassy, green"
"12427","Heptyl.formate","apple, herbal, waxy, floral, cucumber, plum, green"
"12428","Allyl.Alcohol","mustard, pungent"
"12429","naringenin","bitter"
"12430","Isobutyraldehyde","malt, fresh, floral, pungent, aldehydic, green"
"12431","Neryl.formate","rose, herbal, fruity, geranium, tea, green"
"12432","X6.Methyl.5.Hepten.2.One","rubber, hazelnut, citrus, apple, lemongrass, pepper, bitter, musty, nutty, mushroom, green"
"12433","X3..Methylthio.propionaldehyde","potato, vegetable, tomato, fishy, musty, earthy, creamy, peanut, cooked potato, beef"
"12434","Octanal","lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green"
"12435","Thiamine.Hydrochloride","sour, bitter, mild"
"12436","hydrogen.cyanide","bitter"
"12437","Benzyl.Benzoate","oil, pineapple, balsamic, herbal, strawberry, oily, faint, sweet, balsam, cherry, almond, herb, cheese"
"12438","X2.Nonanol","citrus, orange, waxy, cucumber, creamy, fruity, cheese, green"
"12439","trans.3.Hexen.1.ol","moss, bitter, fresh, fatty, earthy, intensely, green"
"12440","Ethyl.Acetate","pineapple, ethereal, sweet, anise, fruity, balsam, weedy, green"
"12441","Isopropyl.butyrate","pineapple, ether, ripe, fruit, sweet, pungent, fruity, estery"
"12442","X4.Hexen.3.One","ethereal, pungent, tropical, metallic, spicy, green"
"12443","Neral","lemon, lemon peel, sweet, citral"
"12444","trans.2.Dodecenal","citrus, orange, fat, herbal, waxy, mandarin, sweet, fruity, aldehydic, metallic, green"
"12445","Linalyl.butyrate","berry, banana, sweet, fruity, bergamot, pear"
"12446","X3.Methyl.2.butenal","brown, sweet, pungent, fruity, cherry, nutty, almond"
"12447","X3.Pentanone","ethereal, acetone, ether"
"12448","Isopropyl.Propionate","pineapple, ether, banana, bitter, sweet, fruity"
"12449","X.E..2.Hexenyl.hexanoate","herbal, waxy, clean, natural, cognac, green"
"12450","Heptanal","citrus, ozone, fat, herbal, fresh, wine-lee, rancid, fatty, aldehydic, green"
"12451","acetone","solvent, apple, pear, ethereal"
"12452","X2.Butanone","ethereal, ether, fruity, acetone, camphor"
"12453","Cyclohexyl.butyrate","fruity, apple, pineapple"
"12454","Geranyl.isovalerate",""
"12455","D.Lactic.acid","acidic, odorless"
"12456","X4.hydroxybenzaldehyde","woody, sweet, balsam, nutty, almond"
"12457","luteolin","bitter"
"12458","Valencene",""
"12459","Neryl.propionate","berry, jammy, rose, fresh, waxy, floral, bitter, fruity, tropical, green"
"12460","p.coumaric.acid","balsam, balsamic"
"12461","Nonanoic.Acid","cultured dairy, fat, waxy, green, dirty, cheese"
"12462","Isoamyl.butyrate","hop_oil, apricot, whiskey, banana, tropica, papaya, melon, fruity, pear, green"
"12463","Hexyl.Hexanoate","peach, vegetable, herbal, apple peel, fresh, cut grass, fruity"
"12464","Octan.2.ol","fat, herbal, fresh, earthy, woody, mushroom, spicy, green"
"12465","Isopentyl.hexanoate","apple, pineapple, banana, fruity, green"
"12466","X2.Methylbutyl.Acetate","overripe fruit, banana, fruit, sweet, peanut, juicy"
"12467","Delta.Decalactone","peach, butter, coconut, apricot, fresh, oily, creamy, plum, sweet, fruity, dairy"
"12468","X2.Methylbutyraldehyde","musty, coffee, cocoa, nutty, almond"
"12469","Styrene","balsamic, gasoline, floral, sweet, balsam, plastic"
"12470","X.2E.4E..deca.2.4.dienal","citrus, orange, nut, wax, meat, fat, fresh, fatty, oily, cucumber, sweet, melon, pumpkin, fried, green"
"12471","Ethyl.Octanoate","apricot, fat, wine, waxy, banana, brandy, fruit, sweet, fruity, pear"
"12472","X2.Methyl.1.propanol","solvent, ether, wine, bitter"
"12473","Vanillic.acid","powdery, vanilla, bean, milky, sweet, creamy, dairy"
"12474","formic.acid","pungent, vinegar, formyl"
"12475","Isopulegol","cooling, minty, woody, medicinal"
"12476","X3.Hexanone","ether, waxy, grape, sweet, rum, fruity"
"12477","Isoamyl.Isovalerate","apple, jammy, ripe, sweet, fruity, tropical, mango, green"
"12478","palmitic.acid","fatty, slightly waxy"
"12479","Ethyl.3.hydroxybutyrate","marshmallow, apple skin, grape, tropical, fruity, green"
"12480","Ethyl.Formate","ethereal, alcohol, rose, bitter, pungent, cognac, green"
"12481","Isobutyric.Acid","rancid, butter, strawberry, cheese"
"12482","X3.Octanol","citrus, nut, moss, herbal, earthy, woody, melon, minty, mushroom, spicy"
"12483","Hexyl.Butyrate","apple, apple peel, waxy, sweet, fruity, soapy, green"
"12484","Methyl.Acetate","ether, fruity, bitter, sweet"
"12485","X2.Nonanone","soap, herbal, fresh, fishy, hot milk, earthy, sweet, soapy, weedy, green"
"12486","X2.6.Dimethylphenol","rooty, coffee, sweet, medicinal, phenolic"
"12487","gamma.Dodecalactone","peach, fatty, musty, fruit, sweet, fruity, metallic, flower"
"12488","Isopentyl.formate","blackcurrant, ethereal, vinous, green, earthy, fruit, plum, dry"
"12489","butyric.acid","butter, sweat, acetic, sharp, rancid, fruit, cheese"
"12490","X4.Methylpentanoic.Acid","pungent, cheese"
"12491","Ethyl.2.methylbutyrate","apple, sharp, sweet, plum, fruity, green"
"12492","X1.Phenylethanol","acetophenone, gardenia, fresh, sweet, hyacinth"
"12493","methanethiol","sulfur, garlic, gasoline, decomposing cabbage"
"12494","Octan.2.one","soap, gasoline, herbal, bitter, earthy, woody, weedy, natural"
"12495","X1.Hexanol","oil, alcoholic, ethereal, resin, fusel, sweet, fruity, flower, green"
"12496","X1.Heptanol","leafy, coconut, herbal, peony, strawberry, chemical, musty, sweet, woody, violet, green"
"12497","Ethyl.methyl.sulfide","sulfur, garlic, vegetable, sulfury, fatty, earthy, woody, nutty, wine_like, meaty, spicy, citrus, sulfurous, coffee, herbaceous, green, cabbage, pyridine, tomato, fishy, floral, fruity"
"12498","Pyridine","sour, putrid, fishy, rancid, sickening, amine"
"12499","Isovaleric.Acid","sour, sweat, acid, stinky, sweaty, animal, rancid, tropical, feet, cheese"
"12500","X2.Methylpyrazine","chocolate, roasted, cocoa, peanut, nutty, popcorn, green"
"12501","X3..2.Furyl.acrolein",""
"12502","Ethyl.Isovalerate","apple, pineapple, tutti frutti, fruit, sweet, fruity"
"12503","CID.644104","grassy, very mild"
"12504","X1.Nonanol","orange, rose, wet, fat, fresh, bitter, fatty, floral, oily, clean, dusty, green"
"12505","X2.Heptanol","lemon, grass, herbal, fresh, bitter, floral, sweet, fruity, mushroom, green"
"12506","Methyl.propenyl.ketone","acetone, fishy, fruity, phenolic"
"12507","Isobutyl.Formate","ether, sweet, fruity, chemical"
"12508","alpha.TERPINEOL",""
"12509","X2.Pentanone","potato, alcohol, ether, ethereal, wine, banana, fishy, fruit, sweet, woody, fruity"
"12510","Phenethyl.isobutyrate","peach, rose, pastry, floral, fruity, tea"
"12511","Citronellol","citrus, rose bud, rose, leather, waxy, floral, geranium"
"12512","Ethyl.caproate","pineapple, apple peel, waxy, banana, fruit, sweet, fruity, green"
"12513","Delta.Nonalactone","coconut, coumarin, milky, creamy, sweet"
"12514","Isoamyl.laurate","peach, wine, brandy, waxy, oily, fatty, rum, beer"
"12515","gamma.Decalactone","peach, coconut, caramel, fat, waxy, fresh, oily, fatty, sweet, fruity, strong, buttery"
"12516","X2.6.Dimethylpyrazine","roast beef, roasted nuts, coffee, cocoa, roasted nut"
"12517","Ethyl.Undecanoate","coconut, waxy, fatty, soapy, cognac"
"12518","Ethyl.Butyrate","apple, pineapple, banana, fruit, fruity, juicy, cognac"
"12519","Mesityl.Oxide","acrylic, vegetable, chemical, earthy, sweet, pungent"
"12520","Ethyl.Stearate","waxy, mild"
"12521","Geranyl.Acetate","rose, waxy, bitter, floral, lavender, green"
"12522","Damascenone","apple, tobacco, rose, smoky, sweet, honey"
"12523","X1.octanol","burnt, orange, rose, waxy, chemical, metal, aldehydic, mushroom, green"
"12524","X2.3.5.6.Tetramethylpyrazine","chocolate, burnt, lard, musty, coffee, cocoa, soybean, nutty"
"12525","Heptanoic.Acid","sour, cheesy, sweat, rancid, cheese"
"12526","salicylic.acid","nutty, faint, phenolic"
"12527","guaiacol","spice, vanilla, smoky, sweet, woody, phenolic, medicine, medicinal, smoke"
"12528","isopropanol","musty, alcohol, woody, bitter"
"12529","Tetradecanoic.acid","fatty, soapy, waxy, coconut"
"12530","X3.4.Dimethoxystyrene","cortex, floral, fruity, weedy, green"
"12531","acetaldehyde","ethereal, ether, whiskey, pungent, fruity, aldehydic"
"12532","vanillin","vanilla, chocolate, sweet, creamy"
"12533","Methyl.Dodecanoate","coconut, fat, waxy, creamy, soapy, mushroom"
"12534","Heptyl.acetate","apricot, fresh, ripe, fruit, woody, rum, pear, green"
"12535","X2.3.Pentanedione","butter, cream, caramel, sweet, pungent, creamy, nutty, cheese"
"12536","Beta.Pinene","resinous, resin, turpentine, green, hay, woody, pine, dry"
"12537","Propyl.butyrate","solvent, pineapple, apricot, sweaty, rancid, sweet, fruity"
"12538","X2.3.5.Trimethylpyrazine","hazelnut, roast, roasted, powdery, potato, must, musty, earthy, cocoa, peanut, nutty"
"12539","Propyl.Hexanoate","pineapple, fruit, sweet, fruity, tropical, juicy, green"
"12540","Ethyl.Crotonate",""
"12541","beta.Cyclocitral","mint, saffron, tobacco, herbal, damascone, sweet, tropical, clean, fruity, rose oxide, minty"
"12542","X4.Propylphenol","medicinal, phenolic"
"12543","Methyl.octanoate","orange, vegetable, herbal, waxy, sweet, aldehydic, green"
"12544","Hexanoic.Acid","fatty, sour, sweat, cheese"
"12545","X2.3.Heptanedione","oily, butter, cheese"
"12546","Alpha.Terpinene","lemon, citrus, herbal, woody, camphoraceous, terpene, medicinal"
"12547","X2.Ethyl.3.Methylpyrazine","raw, hazelnut, roast, sweat, potato, bread, musty, earthy, peanut, nutty, corn"
"12548","Pentyl.Hexanoate","apple, pineapple, fatty, estery, sweet, fruity, pear, green"
"12549","Isobutyl.Acetate","apple, ethereal, banana, bitter, fruit, sweet, fruity, tropical"
"12550","Ethyl.Heptanoate","pineapple, wine, fruit, plum, fruity, melon, rum, cognac"
"12551","X13002.09.0","alcoholic, fermented, ethereal, fruity, green"
"12552","Isoeugenol","carnation, clove, floral, sweet, woody, flower, spicy, phenolic"
"12553","Syringaldehyde","mild, sweet, woody, tonka, plastic"
"12554","l.Menthol","cooling, tobacco, mentholic, peppermint, camphoraceous, minty"
"12555","Propyl.Propionate","pineapple, sharp, chemical, bitter, sweet, pungent, fruity"
"12556","X2.Methoxy.4.Propylphenol","powdery, allspice, clove, pepper, sharp, fishy, phenol, sweet, anise, balsam, soapy, spicy, phenolic"
"12557","Salicylaldehyde","cooling, medical, wintergreen, spicy, cinnamon"
"12558","Isobutyl.propionate","tutti frutti, ether, banana, bitter, sweet, fruity, green"
"12559","Isopentyl.octanoate","coconut, pineapple, oily, sweet, fruity, soapy, green"
"12560","P.Cresol","smoke, animal, narcissus, phenol, mimosa, medicine, medicinal, phenolic"
"12561","X2.Ethyl.3.5.Dimethylpyrazine","roast, burnt almonds, roasted nuts, potato, coffee"
"12562","X3.Methylbutanal","peach, sour, chocolate, ethereal, malt, fatty, aldehydic"
"12563","Isobutyraldehyde","malt, fresh, floral, pungent, aldehydic, green"
"12564","X2.Phenylethyl.hexanoate","pineapple, sweaty, waxy, banana, floral, woody, sweet, honey, green"
"12565","Ethyl.dodecanoate","waxy, floral, sweet, clean, leaf, soapy"
"12566","X2.Methylpentanoic.acid","sour, cheese"
"12567","X4.Ethyl.2.methoxyphenol","spice, smoky, clove, bacon, spicy, phenolic"
"12568","Phenethyl.butyrate","yeast, strawberry, floral, musty, sweet"
"12569","Ethyl.tetradecanoate","ether, waxy, sweet, soapy, orris, violet"
"12570","X2.Pentanol","oil, fermented, mild, fusel, green"
"12571","stearic.acid","fatty, odorless, mild"
"12572","Isobutyl.hexanoate","peach, pineapple, sweet, fruity, tropical, green"
"12573","X2.5.Dimethylpyrazine","roast beef, roasted nuts, grass, medical, cocoa, woody, medicine, roasted nut, medicinal"
"12574","dimethyl.sulfoxide","cheesy, garlic, bitter, fatty, oily, mushroom"
"12575","Undecanoic.Acid","oil, coconut, waxy, fatty, creamy, cheese"
"12576","X2.Methyltetrahydrofuran.3.One","solvent, bread, buttery, sweet, nutty"
"12577","X2.Phenylethyl.octanoate","waxy, cocoa, sweet, fruity, green"
"12578","o.cresol","phenol, musty, medicinal, phenolic"
"12579","Acetal","cream, nut, tart, ether, vegetable, earthy, fruit, sweet, honey, green"
"12580","X2.Heptanone","coconut, soap, herbal, sweet, woody, fruity, spicy, cinnamon"
"12581","X1.Octen.3.Ol","raw, fishy, oily, earthy, fungal, chicken, mushroom, green"
"12582","X2.Phenylethanol","spice, rose, lilac, rose dried, rose flower, bitter, floral, rose water, honey"
"12583","Isoamyl.propionate","pineapple, tomato, banana, ripe, bitter, fruit, sweet, fruity, tropical"
"12584","Octanal","lemon, citrus, soap, orange peel, fat, waxy, fatty, aldehydic, green"
"12585","X2.3.Dimethylpyrazine","butter, caramel, nut, peanut butter, meat, leather, coffee, cocoa, peanut, nutty, almond, walnut"
"12586","Thiamine.Hydrochloride","sour, bitter, mild"
"12587","Nonanal","citrus, lime, orange peel, rose, fat, green, fishy, waxy, fresh, fatty, peely, aldehydic, orris, grapefruit"
"12588","m.cresol","medical, leather, woody, fecal, phenolic, medicinal, plastic"
"12589","Ethyl.3.phenylpropionate","rose, rum, fruity, honey, hyacinth, flower"
"12590","Isoamyl.salicylate","tobacco, herbal, bitter, floral, wintergreen, woody, orchid, metallic, soapy"
