"","common_name","profile"
"80","apigenin","bitter"
"81","phenylacetaldehyde","hawthorne, green, bitter, floral, sweet, cocoa, honey, peanut, hyacinth, clover, grapefruit"
"82","trans.2.Hexen.1.Ol","leafy, alcohol, pepper, wine, green, fresh, fruit, unripe banana, fruity, leaf, walnut"
"83","X4.Methoxybenzoic.Acid","putrid, sweet, faint, cadaverous"
"84","alpha.Muurolene","wood, woody"
"85","Pinocarveol","herbal, woody, balsam, pine, camphor"
"86","X.5xi.7xi.10xi..eudesma.4.14..11.diene","herbal, herb"
"87","octanoic.acid","cheesy, sweat, vegetable, waxy, fatty, rancid, oily, cheese"
"88","X3.Methyl.1.butanol","oil, alcoholic, burnt, whiskey, malt, banana, fusel, fruity"
"89","X3.Phenylpropanoic.acid","balsamic, rose, fatty, sweet, musk, cinnamon"
"90","Spathulenol","herbal, earthy, fruit, fruity, herb"
"91","Propionaldehyde","solvent, alcohol, whiskey, wine, earthy, cocoa, pungent, nutty"
"92","Myrtenal","lime, spice, jam, pepper, sweet, tonka, terpene, camphor, spicy, cinnamon"
"93","beta.Cubebene","fruity, citrus, fruit"
"94","Hexyl.acetate","apple, banana, bitter, fruit, sweet, fruity, herb, green"
"95","Isopentyl.isobutyrate","pineapple, apricot, waxy, banana, fruity, green"
"96","X.E..gamma.Bisabolene","citrus, myrrh, opoponax, balsam, spicy"
"97","X2..4.Hydroxyphenyl.ethanol","floral, sweet, fruity, mild"
"98","Propyl.Isobutyrate","berry, ripe, sweet, melon, tropical, fruity"
"99","Acrolein","cherry, almond"
"100","X....delta.Cadinene","herbal, woody, thyme, wood, medicine, dry"
"101","Isoborneol","must, herbal, woody, balsam, camphor"
"102","X2.methylpropyl.but.2.enoate",""
"103","indole","burnt, jasmine, mothball, animal, fishy, floral, moth ball, naphthelene, honey, fecal"
"104","Tributyrin","bitter, waxy, fatty, creamy, cheese"
"105","calcium.lactate","odorless"
"106","Isoamyl.Acetate","solvent, bitter, banana, sweet, fruity"
"107","Myrtenol","mint, medical, woody, sweet, balsam, pine"
"108","Isobutyl.butyrate","apple, berry, pineapple, sweet, rum, fruity"
"109","X2.3.butanedione","butter, caramel, oily, creamy, sweet, pungent, strong"
"110","isoliquiritigenin","bitter"
"111","Cinnamic.Acid","storax, sweet, honey, balsam"
"112","Farnesal","floral, minty"
"113","Bornyl.Acetate","cedar, balsamic, spice, herbal, fresh, sweet, woody, pine needle, pine, camphor"
"114","X2.Methylbutanoic.acid","sour, sweat, acid, strawberry, roquefort cheese, pungent, cheese"
"115","X3.Methyl.1.Pentanol","wine, fusel, cocoa, fruity, cognac, green"
"116","Levomenol","coconut, nutty, fruity, herb"
"117","X3.4.Dihydroxybenzaldehyde","almond, medical, bitter, dry"
"118","Isorhamnetin","bitter"
"119",".alpha..Cubebene","wax, herbal, waxy, herb"
"120","Caryophyllene","wood, woody, spicy"
"121","nerol","citrus, magnolia, neroli, bitter, sweet, natural"
"122","X3.Methylbutanal","peach, sour, chocolate, ethereal, malt, fatty, aldehydic"
"123","farnesol","orange, linden, mild, clove, fresh, waxy, floral, muguet, sweet, anise, lily, balsam, angelica, pear, grapefruit"
"124","Daidzin","bitter"
"125","X2.Methylbutyraldehyde","musty, coffee, cocoa, nutty, almond"
"126","X3.methylthiopropanol","sulfurous, potato, onion, vegetable, sweet, soup"
"127","X6753.98.6","wood, woody"
"128","Citral","lemon, mint, citrus, sharp, bitter, sweet"
"129","alpha.Cadinene","woody, dry"
"130","X2.Methyl.1.propanol","solvent, ether, wine, bitter"
"131","Isobutyric.Acid","rancid, butter, strawberry, cheese"
"132","Hexyl.Butyrate","apple, apple peel, waxy, sweet, fruity, soapy, green"
"133","CHEBI.49249","balsamic"
"134","Butyl.angelate","rose, wine, fruity, spicy"
"135","Methyl.jasmonate","magnolia, jasmine, fresh, waxy, floral, oily, melon, petal"
"136","X3.4.Dihydroxybenzoic.Acid","phenolic, balsamic, mild"
"137","nicotine","bitter"
"138","Camphene","fir needle, woody, herbal, camphor"
"139","alpha.Farnesene","citrus, lime, neroli, herbal, myrrh, sweet, bergamot, wood, lavender, green"
"140","Ethyl.2.methylbutyrate","apple, sharp, sweet, plum, fruity, green"
"141","kaempferol","bitter"
"142","Dipentene","lemon, citrus, orange, herbal, woody, terpene, citric, camphor"
"143","Beta.Terpineol","must, earthy, pungent, woody"
